,ngram,centrality
650,top quark production,0.0
696,partial wave analysis,0.0
698,sufficient condition,0.0
744,broken phase,0.0
734,black ring,0.0
725,new state,0.0
726,subsequent decay,0.0
727,integrable model,0.0
728,hidden sector,0.0
729,magnetic monopoles,0.0
730,heavy particle,0.0
731,big bang,0.0
732,landau gauge,0.0
733,such state,0.0
735,friedmann equation,0.0
699,massive neutrino,0.0
736,qcd calculation,0.0
737,possible existence,0.0
738,standard model field,0.0
739,light-cone sum rule,0.0
647,chiral lagrangian,0.0
740,cosmological parameter,0.0
741,sine-gordon model,0.0
742,\rm t,0.0
743,effective interaction,0.0
724,second order phase,0.0
723,few year,0.0
722,future prospect,0.0
721,reasonable agreement,0.0
700,holographic qcd,0.0
701,slow-roll inflation,0.0
702,holographic dual,0.0
703,planck scale,0.0
704,nambu-goldstone boson,0.0
705,one-loop amplitude,0.0
706,closed string,0.0
707,other experiment,0.0
708,jona-lasinio model,0.0
709,similar result,0.0
710,boson mass,0.0
711,double field theory,0.0
714,physical state,0.0
715,other approach,0.0
716,minimal supergravity,0.0
717,broad range,0.0
718,first error,0.0
719,partial wave,0.0
720,cern sps,0.0
806,hybrid inflation,0.0
914,present measurement,0.0
808,kinematic distribution,0.0
931,derivative correction,0.0
933,deconfinement transition,0.0
934,supersymmetric su,0.0
935,gauss-bonnet gravity,0.0
936,experimental evidence,0.0
937,loop order,0.0
938,initial data,0.0
939,experimental setup,0.0
940,near-horizon geometry,0.0
941,relativistic particle,0.0
942,rotational symmetry,0.0
943,canonical ensemble,0.0
944,conserved quantity,0.0
945,additional constraint,0.0
946,simple extension,0.0
947,physical value,0.0
948,independent way,0.0
949,valuable information,0.0
950,physical degree,0.0
951,baryon number,0.0
932,exclusive production,0.0
930,phenomenological constraint,0.0
953,experimental sensitivity,0.0
929,gauge transformation,0.0
907,azimuthal asymmetry,0.0
909,gauss-bonnet term,0.0
910,explicit construction,0.0
911,simple form,0.0
913,perturbative series,0.0
645,electroweak baryogenesis,0.0
915,main goal,0.0
916,see-saw mechanism,0.0
917,theoretical study,0.0
918,chaotic inflation,0.0
920,many case,0.0
921,cp-violating asymmetry,0.0
922,partial width,0.0
923,general result,0.0
924,indirect search,0.0
925,obtained result,0.0
926,wide variety,0.0
927,signal strength,0.0
928,various model,0.0
952,additional contribution,0.0
954,variational principle,0.0
905,large mass,0.0
977,heavy quarkonium,0.0
979,statistical error,0.0
980,systematic way,0.0
981,kinematical region,0.0
982,nonperturbative effect,0.0
983,covariant derivative,0.0
984,electromagnetic interaction,0.0
985,new perspective,0.0
987,same form,0.0
988,seesaw model,0.0
989,basic property,0.0
990,universality class,0.0
991,observed value,0.0
992,charmed meson,0.0
993,such particle,0.0
994,arbitrary value,0.0
995,brief overview,0.0
996,two-loop correction,0.0
997,one-parameter family,0.0
998,single-spin asymmetry,0.0
978,qualitative agreement,0.0
976,gravitational perturbation,0.0
955,opposite sign,0.0
975,gravitational coupling,0.0
956,fermi surface,0.0
957,short review,0.0
958,asymptotic behaviour,0.0
959,minimal extension,0.0
960,false vacuum,0.0
961,cosmic acceleration,0.0
962,various type,0.0
963,two-loop order,0.0
964,current constraint,0.0
965,more detail,0.0
966,classical equation,0.0
967,quantum theory,0.0
968,cpt violation,0.0
969,present data,0.0
970,top production,0.0
971,statistical mechanic,0.0
972,normal hierarchy,0.0
973,functional form,0.0
974,kinetic equation,0.0
906,inflationary cosmology,0.0
904,n >,0.0
809,better understanding,0.0
831,low-energy constant,0.0
834,inclusive production,0.0
835,superconformal algebra,0.0
836,effective description,0.0
837,qcd factorization,0.0
839,interesting feature,0.0
840,holographic superconductors,0.0
841,nuclear medium,0.0
842,baryonic matter,0.0
843,tev scale,0.0
844,infinite set,0.0
845,conserved charge,0.0
846,euclidean space,0.0
848,generic feature,0.0
849,soft term,0.0
851,other word,0.0
852,kinematic variable,0.0
853,neutral particle,0.0
854,small number,0.0
855,nuclear target,0.0
832,physical system,0.0
830,new set,0.0
857,natural way,0.0
829,free field,0.0
810,such effect,0.0
811,dense matter,0.0
812,cosmological scenario,0.0
813,gravitational effect,0.0
814,supersymmetric solution,0.0
815,einstein-hilbert action,0.0
816,hadronic interaction,0.0
817,black branes,0.0
818,stress-energy tensor,0.0
819,current limit,0.0
820,acoustic oscillation,0.0
821,spectral density,0.0
822,free theory,0.0
823,fermionic field,0.0
824,such solution,0.0
825,cosmological constraint,0.0
826,total number,0.0
827,third order,0.0
828,hard process,0.0
856,w boson,0.0
858,current bound,0.0
903,new interaction,0.0
882,special relativity,0.0
884,minimal length,0.0
885,fifth dimension,0.0
886,long time,0.0
887,curved spacetime,0.0
888,anomalous coupling,0.0
889,scalar theory,0.0
890,conformal block,0.0
891,other method,0.0
892,modulus stabilization,0.0
893,possible solution,0.0
894,non-relativistic limit,0.0
895,gluon distribution,0.0
896,calabi-yau threefolds,0.0
897,gauge invariant,0.0
898,gauged supergravity,0.0
899,physical point,0.0
900,fundamental theory,0.0
901,azimuthal angle,0.0
902,proton-antiproton collision,0.0
883,certain condition,0.0
881,unified description,0.0
859,such scenario,0.0
880,superconformal symmetry,0.0
860,loop correction,0.0
861,different scenario,0.0
862,dual cft,0.0
863,higher spin,0.0
864,quark-antiquark pair,0.0
865,cp asymmetry,0.0
866,conformal dimension,0.0
867,axial anomaly,0.0
868,large region,0.0
869,visible sector,0.0
870,stringent bound,0.0
871,present study,0.0
872,large logarithm,0.0
873,bound state,0.0
874,lepton number,0.0
875,nlo correction,0.0
877,general formalism,0.0
878,numerical evaluation,0.0
879,possible way,0.0
646,experimental signature,0.0
500,neutral gauge boson,0.0
644,klein-gordon equation,0.0
325,infinite number,0.0
364,experimental search,0.0
365,strong cp problem,0.0
366,new physic model,0.0
367,theoretical calculation,0.0
368,first observation,0.0
370,analytical result,0.0
371,real part,0.0
372,\cal b,0.0
374,general class,0.0
375,different model,0.0
376,external field,0.0
377,standard model background,0.0
378,deep-inelastic scattering,0.0
379,new feature,0.0
381,nucleus-nucleus collision,0.0
383,brief review,0.0
384,new model,0.0
385,black hole background,0.0
386,dual field theory,0.0
361,quark matter,0.0
360,lorentz violation,0.0
359,dark matter density,0.0
340,experimental limit,0.0
327,yang-mills theory,0.0
328,nonlinear sigma model,0.0
329,higgs model,0.0
331,global analysis,0.0
334,anti-de sitter space,0.0
335,numerical study,0.0
337,gravitational theory,0.0
338,leptonic decay,0.0
342,chiral limit,0.0
358,lorentz symmetry,0.0
345,super yang-mills,0.0
347,quasinormal mode,0.0
349,exact result,0.0
350,generalized parton distribution,0.0
351,holographic entanglement entropy,0.0
352,different approach,0.0
353,scalar perturbation,0.0
354,gauge invariance,0.0
387,dark matter relic density,0.0
389,differential distribution,0.0
390,non-perturbative effect,0.0
430,final result,0.0
420,excellent agreement,0.0
421,analytic solution,0.0
422,lattice simulation,0.0
423,explicit form,0.0
424,local operator,0.0
425,neural network,0.0
427,non-abelian gauge theory,0.0
429,drell-yan process,0.0
431,solar neutrino,0.0
417,higgs potential,0.0
432,generalized uncertainty principle,0.0
433,new physic effect,0.0
434,composite higgs model,0.0
435,axion-like particle,0.0
437,same order,0.0
438,thermal equilibrium,0.0
439,magnetic flux,0.0
440,strong evidence,0.0
418,charged particle,0.0
416,intermediate state,0.0
392,pb-pb collision,0.0
401,several example,0.0
393,rare decay,0.0
394,grand unification,0.0
395,physical quantity,0.0
396,topological charge,0.0
397,potential model,0.0
398,irreducible representation,0.0
399,hadronic decay,0.0
400,higgs doublet,0.0
402,galactic center,0.0
415,functional renormalization group,0.0
404,n limit,0.0
405,earlier work,0.0
406,large distance,0.0
407,black hole thermodynamics,0.0
408,non-linear sigma model,0.0
410,bethe-salpeter equation,0.0
412,atmospheric neutrino,0.0
413,effective model,0.0
326,arbitrary dimension,0.0
324,minkowski space,0.0
643,general theory,0.0
323,such theory,0.0
186,experimental value,0.0
188,dirac equation,0.0
189,invariant mass distribution,0.0
199,next-to-next-to-leading order,0.0
202,experimental measurement,0.0
204,high energy physic,0.0
206,space-time dimension,0.0
210,analytic expression,0.0
212,black hole entropy,0.0
213,semileptonic decay,0.0
219,black hole horizon,0.0
221,final state interaction,0.0
226,cosmic string,0.0
231,hilbert space,0.0
234,particular case,0.0
237,linear sigma model,0.0
238,available data,0.0
242,invariant mass spectrum,0.0
243,shear viscosity,0.0
185,explicit example,0.0
180,elastic scattering,0.0
178,supersymmetric theory,0.0
150,electromagnetic form factor,0.0
63,modulus space,0.0
96,second order,0.0
104,imaginary part,0.0
115,qcd sum rule,0.0
121,\cal n,0.0
128,dark matter annihilation,0.0
139,spectral function,0.0
145,dark matter search,0.0
151,kinetic term,0.0
177,first measurement,0.0
157,explicit expression,0.0
159,supersymmetric yang-mills theory,0.0
161,super yang-mills theory,0.0
163,high temperature,0.0
168,superconformal field theory,0.0
171,cosmic ray,0.0
172,transverse momentum,0.0
176,nuclear modification factor,0.0
245,detailed study,0.0
249,electroweak symmetry,0.0
252,proton-proton collision data,0.0
308,previous paper,0.0
298,next-to-leading order qcd,0.0
300,phenomenological implication,0.0
301,current data,0.0
302,topological defect,0.0
303,n=4 sym,0.0
304,chiral quark model,0.0
305,standard model gauge,0.0
307,physical interpretation,0.0
310,einstein equation,0.0
292,nuclear collision,0.0
312,latter case,0.0
313,elliptic flow,0.0
314,stringent constraint,0.0
315,neutral current,0.0
316,neutrino mass hierarchy,0.0
317,qcd correction,0.0
320,harmonic oscillator,0.0
322,decay channel,0.0
294,conformal invariance,0.0
291,experimental bound,0.0
253,big bang nucleosynthesis,0.0
269,spacetime dimension,0.0
254,analytic continuation,0.0
255,flat space,0.0
257,atlas experiment,0.0
258,strong coupling constant,0.0
259,unified theory,0.0
261,new type,0.0
267,general case,0.0
268,lhcb experiment,0.0
271,scalar meson,0.0
290,relativistic heavy-ion collision,0.0
272,cosmological perturbation,0.0
277,first step,0.0
280,s * *,0.0
281,heavy ion collider,0.0
284,einstein gravity,0.0
285,fundamental representation,0.0
286,neutral higgs boson,0.0
287,open string,0.0
443,three-point function,0.0
444,higher order correction,0.0
445,qcd phase diagram,0.0
446,electroweak phase transition,0.0
574,finite density,0.0
575,fine tuning,0.0
577,heavy quark effective theory,0.0
578,standard model effective field,0.0
579,dark matter direct detection,0.0
580,dark matter scenario,0.0
581,gravitational collapse,0.0
582,different way,0.0
583,possible application,0.0
584,decay constant,0.0
585,specific model,0.0
586,tau lepton,0.0
587,second law,0.0
588,infrared divergence,0.0
589,precise determination,0.0
590,light meson,0.0
591,perfect fluid,0.0
592,certain class,0.0
593,gravitational interaction,0.0
573,matrix model,0.0
572,signal event,0.0
571,such system,0.0
557,schwinger-dyson equation,0.0
549,boundary term,0.0
550,new data,0.0
551,higgs boson production,0.0
552,flat direction,0.0
553,chiral model,0.0
554,present status,0.0
555,direct measurement,0.0
556,integral representation,0.0
558,lowest order,0.0
570,derivative expansion,0.0
559,hadronic matter,0.0
560,finite temperature and density,0.0
561,light higgs boson,0.0
564,scalar curvature,0.0
566,new constraint,0.0
567,numerical method,0.0
568,finite volume,0.0
569,open question,0.0
594,virtual photon,0.0
595,higgs coupling,0.0
597,four-point function,0.0
633,riemann surface,0.0
624,associated production,0.0
625,naked singularity,0.0
626,early time,0.0
627,weak decay,0.0
628,compact object,0.0
629,milky way,0.0
631,dynamical system,0.0
632,kinematic range,0.0
634,closed form,0.0
621,general expression,0.0
635,explicit formula,0.0
636,gauge coupling,0.0
637,large scale structure,0.0
638,scalar field model,0.0
639,supersymmetric quantum mechanic,0.0
640,lhc experiment,0.0
641,pair production,0.0
642,pb+pb collision,0.0
623,particular emphasis,0.0
620,heavy meson,0.0
598,new physic scenario,0.0
608,small scale,0.0
599,single spin asymmetry,0.0
600,experimental test,0.0
601,heavy baryon,0.0
602,quantum effect,0.0
603,latest result,0.0
604,different method,0.0
606,accelerated expansion,0.0
607,lattice qcd,0.0
609,effective coupling,0.0
619,boundary theory,0.0
610,nambu-jona-lasinio model,0.0
611,derivative term,0.0
612,e+e- collider,0.0
613,quark mass,0.0
614,electroweak correction,0.0
615,kinetic theory,0.0
616,necessary condition,0.0
618,dark matter detection,0.0
548,lagrangian approach,0.0
547,lightest neutralino,0.0
546,rhic energy,0.0
481,inclusive cross section,0.0
471,weak scale,0.0
472,high transverse momentum,0.0
473,future collider,0.0
474,physical observables,0.0
476,new solution,0.0
477,statistical significance,0.0
479,large transverse momentum,0.0
480,noncommutative space,0.0
482,kinematic region,0.0
469,large scale,0.0
483,early stage,0.0
484,recent study,0.0
485,high density,0.0
486,phenomenological analysis,0.0
487,internal structure,0.0
488,first uncertainty,0.0
489,flat spacetime,0.0
490,general framework,0.0
470,large n,0.0
468,concrete example,0.0
492,cm experiment,0.0
455,direct cp violation,0.0
447,dual description,0.0
448,powerful tool,0.0
449,first principle,0.0
450,hadronic collision,0.0
451,integrable system,0.0
452,theoretical framework,0.0
453,randall-sundrum model,0.0
454,short distance,0.0
456,neutrino oscillation experiment,0.0
467,special emphasis,0.0
458,heterotic string,0.0
459,finite number,0.0
460,decay mode,0.0
461,one-loop order,0.0
462,nuclear physic,0.0
463,general formula,0.0
465,explicit calculation,0.0
466,cosmological constant problem,0.0
491,active neutrino,0.0
493,cosmological observation,0.0
545,quantum mechanic,0.0
534,phenomenological consequence,0.0
524,specific example,0.0
525,modified gravity,0.0
526,lattice calculation,0.0
527,compact star,0.0
528,analytical solution,0.0
530,experimental study,0.0
531,magnetic effect,0.0
532,magnetic charge,0.0
535,lhcb collaboration,0.0
522,null energy condition,0.0
536,gauge group,0.0
537,wide class,0.0
538,nuclear effect,0.0
539,standard model fermion,0.0
540,key role,0.0
541,previous measurement,0.0
542,general property,0.0
544,strange quark,0.0
523,physical property,0.0
521,thermodynamic property,0.0
494,noncommutative geometry,0.0
507,classical limit,0.0
496,first part,0.0
497,boundary state,0.0
498,auxiliary field,0.0
499,next generation,0.0
501,virtual compton scattering,0.0
502,analytic result,0.0
504,calabi-yau manifold,0.0
506,high precision,0.0
508,symmetric solution,0.0
520,scalar sector,0.0
510,chiral fermion,0.0
511,observational constraint,0.0
513,strong decay,0.0
514,new physic contribution,0.0
515,chiral symmetry restoration,0.0
517,higher energy,0.0
518,previous calculation,0.0
519,kinetic energy,0.0
999,recent proposal,0.0
