ngram,count,unithood,len
region,9098,0.048509638836418324,6
high,9001,0.04799244440169283,4
light,8993,0.047949789190581446,5
small,8983,0.04789647017669222,5
chiral,8912,0.04751790517807872,6
fermion,8910,0.047507241375300865,7
prediction,8893,0.04741659905168918,10
current,8848,0.04717666348918766,7
meson,8802,0.046931396025297216,5
condition,8725,0.04652083961835017,9
action,8649,0.04611561511279205,6
due,8645,0.04609428750723636,3
point,8432,0.04495859251139584,5
framework,8375,0.04465467413222724,9
section,8338,0.0444573937808371,7
heavy,8297,0.04423878582389128,5
present,8264,0.04406283307805683,7
relation,8220,0.04382822941694423,8
gravity,8193,0.043684268079443325,7
density,8189,0.043662940473887635,7
transition,8171,0.04356696624888702,10
type,8151,0.04346032822110857,4
string,8135,0.04337501779888581,6
cross,8117,0.0432790435738852,5
finite,8070,0.04302844420860583,6
charge,8000,0.04265521111138124,6
problem,7999,0.04264987920999233,7
matrix,7954,0.0424099436474908,6
vacuum,7906,0.04215401238082252,6
ratio,7848,0.041844762100265005,5
level,7799,0.0415834989322078,5
dark matter,4896,0.04137542896399281,11
range,7749,0.04131690386276166,5
lhc,7502,0.039999924219697766,3
strong,7455,0.0397493248544184,6
hadron,7414,0.03953071689747257,6
invariant,7382,0.03936009605302705,9
collider,7363,0.03925878992663751,8
bound,7354,0.03921080281413721,5
detector,7297,0.038906884434968626,8
factor,7194,0.038357698591909586,6
amplitude,7186,0.038315043380798205,9
temperature,7171,0.03823506485996437,11
vector,7165,0.038203073451630834,6
same,7134,0.03803778450857423,4
simple,7110,0.03790981887524009,6
example,7048,0.03757924098912688,7
consistent,7013,0.03739262444051459,10
sector,6984,0.03723799930023583,6
event,6967,0.03714735697662414,5
low,6955,0.03708337415995708,3
pair,6931,0.03695540852662293,4
expansion,6727,0.03586770064328271,9
class,6693,0.03568641599605934,5
mode,6634,0.0353718338141129,4
various,6634,0.0353718338141129,7
search,6516,0.03474266945022003,6
spin,6489,0.03459870811271912,4
lepton,6484,0.0345720486057745,6
dependence,6471,0.034502733887718504,10
mechanism,6455,0.03441742346549574,9
dark,6448,0.03438010015577329,4
scattering,6430,0.03428412593077268,10
black hole,4055,0.03426825254268604,10
physical,6345,0.033830914312714254,8
way,6340,0.03380425480576964,3
work,6264,0.03339903030021152,4
perturbation,6233,0.033233741357154914,12
loop,6225,0.03319108614604353,4
presence,6173,0.03291382727381956,8
scenario,6120,0.032631236500206655,8
black,5998,0.03198074453075809,5
description,5995,0.03196474882659132,11
scalar field,3776,0.0319104615539291,12
dynamic,5929,0.031612843334922425,7
theoretical,5889,0.03139956727936552,11
corresponding,5869,0.03129292925158707,13
magnetic,5848,0.031180959322419693,8
tev,5838,0.031127640308530467,3
flavor,5795,0.030898368548806794,6
cosmological,5779,0.03081305812658403,12
photon,5746,0.03063710538074958,6
several,5746,0.03063710538074958,7
representation,5721,0.030503807846026517,14
gluon,5709,0.030439825029359442,5
hole,5654,0.030146570452968695,4
approximation,5630,0.030018604819634552,13
agreement,5615,0.029938626298800713,9
correlation,5593,0.029821324468244415,11
free,5579,0.0297466778487995,4
supersymmetry,5543,0.02955472939879828,13
future,5513,0.029394772357130602,6
rate,5495,0.029298798132129995,4
numerical,5455,0.02908552207657309,9
violation,5440,0.029005543555739248,9
previous,5412,0.028856250316849415,8
dimensional,5394,0.028760276091848808,11
set,5386,0.028717620880737427,3
massive,5342,0.02848301721962483,7
classical,5342,0.02848301721962483,9
formalism,5339,0.02846702151545806,9
conformal,5319,0.028360383487679608,9
perturbative,5280,0.028152439333511622,12
important,5257,0.028029805601566402,9
part,5234,0.027907171869621182,4
minimal,5232,0.027896508066843337,7
black holes,3285,0.027761087448267236,11
second,5178,0.027608585391841516,6
transverse,5139,0.02740064123767353,10
boundary,5138,0.027395309336284607,8
single,5138,0.027395309336284607,6
extension,5137,0.02738997743489568,9
tensor,5104,0.02721402468906124,6
signal,5045,0.0268994425071148,6
breaking,5024,0.026787472577947422,8
baryon,5008,0.02670216215572466,6
possibility,4982,0.026563532719612672,11
hadronic,4974,0.02652087750850129,8
direct,4964,0.026467558494612065,6
existence,4964,0.026467558494612065,9
final,4950,0.026392911875167145,5
gravitational,4919,0.026227622932110544,13
mixing,4869,0.025961027862664413,6
dynamical,4858,0.025902376947386264,9
resonance,4856,0.02589171314460842,9
role,4831,0.02575841560988535,4
local,4830,0.02575308370849643,5
feature,4829,0.025747751807107505,7
algebra,4816,0.02567843708905151,7
exact,4812,0.025657109483495824,5
behavior,4804,0.02561445427238444,8
proton,4771,0.025438501526549993,6
geometry,4771,0.025438501526549993,8
critical,4717,0.02515057885154817,8
evolution,4709,0.025107923640436788,9
explicit,4700,0.025059936527936484,8
electroweak,4691,0.025011949415436177,11
weak,4689,0.025001285612658335,4
application,4685,0.024979958007102645,11
universe,4676,0.024931970894602338,8
linear,4656,0.02482533286682389,6
asymmetry,4613,0.024596061107100213,9
certain,4595,0.024500086882099606,7
channel,4594,0.02449475498071068,7
simulation,4589,0.024468095473766067,10
technique,4588,0.024462763572377144,9
arbitrary,4576,0.024398780755710073,9
wave,4558,0.024302806530709466,4
massless,4538,0.024196168502931013,8
renormalization,4497,0.023977560545985186,15
\to,4494,0.023961564841818415,3
context,4477,0.023870922518206734,7
total,4373,0.023316404773758775,5
addition,4371,0.02330574097098093,8
experimental data,2725,0.02302860374323538,17
full,4294,0.022895184564033885,4
construction,4272,0.022777882733477587,12
independent,4267,0.022751223226532974,11
cp,4259,0.022708568015421593,2
similar,4252,0.022671244705699135,7
configuration,4242,0.02261792569180991,13
electron,4224,0.022521951466809298,8
relativistic,4217,0.02248462815708684,12
relevant,4210,0.02244730484736438,8
account,4198,0.02238332203069731,7
pion,4190,0.02234066681958593,4
new physics,2641,0.022318731187480602,11
integral,4172,0.022244692594585322,8
high energy,2629,0.022217320822372773,11
spacetime,4141,0.022079403651528717,9
expression,4123,0.02198342942652811,10
supergravity,4109,0.021908782807083194,12
formula,4072,0.021711502455693057,7
transformation,4068,0.021690174850137366,14
observation,4064,0.021668847244581672,11
nucleon,4037,0.021524885907080762,7
additional,4034,0.021508890202913997,10
source,4006,0.02135959696402416,6
neutral,3971,0.021172980415411866,7
detail,3965,0.021140989007078333,6
dual,3953,0.02107700619041126,4
topological,3929,0.020949040557077116,11
lagrangian,3919,0.02089572154318789,10
invariance,3907,0.020831738726520818,10
angle,3900,0.020794415416798356,5
anomaly,3870,0.02063445837513068,7
formulation,3856,0.02055981175568576,11
implication,3841,0.020479833234851922,11
component,3823,0.020383859009851315,9
one-loop,3808,0.020303880489017472,8
dirac,3788,0.020197242461239023,5
low energy,2386,0.02016376092893931,10
special,3765,0.0200746087292938,7
symmetric,3763,0.020063944926515954,9
jet,3755,0.020021289715404574,3
differential,3738,0.01993064739179289,12
observables,3732,0.019898655983459353,11
significant,3719,0.01982934126540336,11
good,3714,0.019802681758458746,4
evidence,3711,0.01978668605429198,8
element,3687,0.019658720420957832,7
rule,3684,0.019642724716791064,4
coefficient,3680,0.019621397111235374,11
difference,3680,0.019621397111235374,10
metric,3679,0.01961606520984645,6
oscillation,3663,0.01953075478762369,11
uncertainty,3656,0.01949343147790123,11
yang-mills,3652,0.019472103872345537,10
many,3650,0.019461440069567695,4
diagram,3645,0.019434780562623082,7
nuclear,3629,0.019349470140400317,7
sum,3629,0.019349470140400317,3
degree,3628,0.019344138239011394,6
scheme,3625,0.01932814253484463,6
global,3622,0.019312146830677862,6
moment,3589,0.019136194084843412,6
fundamental,3582,0.019098870775120954,11
information,3567,0.019018892254287115,11
one,3549,0.018922918029286504,3
electromagnetic,3541,0.018880262818175123,15
consequence,3536,0.01885360331123051,11
power,3500,0.018661654861229296,5
anomalous,3487,0.018592340143173302,9
space-time,3447,0.018379064087616394,10
quantum field,2171,0.018346825220757434,13
complex,3398,0.018117800919559186,7
ii,3379,0.018016494793169656,2
test,3367,0.01795251197650258,4
initial,3364,0.017936516272335817,7
comparison,3351,0.01786720155427982,10
size,3349,0.017856537751501974,4
angular,3340,0.017808550639001674,7
flux,3338,0.017797886836223825,4
generation,3331,0.017760563526501367,10
product,3319,0.017696580709834295,7
parton,3303,0.017611270287611534,6
complete,3302,0.01760593838622261,8
fluctuation,3294,0.01756328317511123,11
upper,3294,0.01756328317511123,5
final state,2063,0.017434131934787003,11
extra,3266,0.017413989936221397,5
expectation,3261,0.017387330429276784,11
motion,3239,0.017270028598720483,6
mev,3237,0.017259364795942637,3
hamiltonian,3234,0.01724336909177587,11
precision,3233,0.017238037190386947,9
large hadron collider,1611,0.017179386275108795,21
phenomenological,3199,0.017056752543163578,16
mean,3196,0.017040756838996807,4
specific,3191,0.017014097332052194,8
\bar,3182,0.016966110219551894,4
freedom,3177,0.016939450712607277,7
latter,3173,0.016918123107051587,6
thermal,3161,0.01685414029038452,7
finite temperature,1983,0.016758062834068166,18
top,3124,0.01665685993899438,3
effective action,1971,0.016656652468960344,16
duality,3121,0.01664086423482761,7
width,3121,0.01664086423482761,5
muon,3109,0.016576881418160536,4
real,3108,0.016571549516771616,4
variable,3097,0.016512898601493468,8
connection,3087,0.01645957958760424,10
quantum field theory,1539,0.016411592475103935,20
use,3077,0.016406260573715012,3
electric,3075,0.016395596770937167,8
radiative,3063,0.016331613954270095,9
determination,3060,0.016315618250103327,13
quantity,3054,0.01628362684176979,8
annihilation,3053,0.016278294940380866,12
flat,3052,0.016272963038991946,4
reaction,3051,0.016267631137603024,8
version,3048,0.016251635433436256,7
observed,3039,0.016203648320935952,8
fraction,3022,0.016113005997324265,8
regime,3013,0.016065018884823964,6
bulk,3013,0.016065018884823964,4
effective field theory,1502,0.016017031772323657,22
boundary conditions,1894,0.01600593595951846,19
luminosity,2986,0.01592105754732305,10
natural,2970,0.01583574712510029,7
chiral symmetry,1867,0.01577776263802585,15
central,2950,0.015729109097321836,7
surface,2934,0.015643798675099074,7
sensitivity,2931,0.015627802970932303,11
systematic,2930,0.015622471069543382,10
interpretation,2924,0.015590479661209846,14
beam,2923,0.015585147759820922,4
cosmic,2920,0.015569152055654156,6
procedure,2907,0.015499837337598162,9
generalized,2905,0.015489173534820315,11
ad,2897,0.015446518323708934,2
polarization,2876,0.015334548394541559,12
radiation,2848,0.015185255155651724,9
conformal field,1796,0.015177751311137886,15
asymptotic,2843,0.015158595648707111,10
singularity,2840,0.015142599944540343,11
interesting,2828,0.015078617127873272,11
effective field,1783,0.015067890082271074,15
vertex,2825,0.015062621423706504,6
nature,2823,0.015051957620928657,6
magnetic field,1778,0.015025635763476148,14
usual,2814,0.015003970508428353,5
principle,2804,0.014950651494539127,9
inflation,2800,0.014929323888983437,9
analytic,2792,0.014886668677872056,8
target,2788,0.014865341072316365,6
main,2786,0.014854677269538518,4
entropy,2779,0.014817353959816062,7
monte,2777,0.014806690157038215,5
carlo,2763,0.014732043537593298,5
wilson,2760,0.01471604783342653,6
curvature,2760,0.01471604783342653,9
inclusive,2757,0.014700052129259763,9
magnitude,2748,0.014652065016759459,9
top quark,1733,0.0146453468943218,9
soft,2742,0.014620073608425923,4
candidate,2727,0.014540095087592082,9
large hadron,1720,0.01453548566545499,12
final states,1717,0.014510133074178035,12
branching,2715,0.014476112270925011,9
available,2699,0.014390801848702247,9
fit,2685,0.014316155229257332,3
supersymmetric standard model,1342,0.01431082332786841,29
double,2678,0.014278831919534872,6
horizon,2671,0.014241508609812416,7
manifold,2664,0.014204185300089956,8
two-dimensional,2659,0.014177525793145343,15
low-energy,2659,0.014177525793145343,10
respect,2657,0.014166861990367497,7
universal,2656,0.014161530088978575,9
good agreement,1673,0.014138295068782674,14
static,2631,0.014028232554255508,6
stable,2631,0.014028232554255508,6
detection,2629,0.014017568751477662,9
next-to-leading order,1651,0.013952376066084994,21
phenomenon,2607,0.013900266920921365,10
collaboration,2604,0.013884271216754595,13
signature,2595,0.013836284104254292,9
sensitive,2595,0.013836284104254292,9
generalization,2592,0.013820288400087524,14
infinite,2592,0.013820288400087524,8
holographic,2583,0.01377230128758722,11
exchange,2581,0.013761637484809375,8
few,2578,0.013745641780642607,3
statistical,2575,0.01372964607647584,11
cosmological constant,1617,0.013665046698279488,21
computation,2562,0.013660331358419844,11
sample,2561,0.013654999457030923,6
novel,2548,0.013585684738974927,5
pure,2529,0.013484378612585397,4
spectral,2525,0.013463051007029707,8
direction,2524,0.013457719105640784,9
quantization,2521,0.013441723401474015,12
family,2516,0.013415063894529402,6
heavy quark,1586,0.01340306992175094,11
brane,2513,0.013399068190362634,5
effective theory,1585,0.013394619057991955,16
covariant,2500,0.01332975347230664,9
generic,2494,0.013297762063973104,7
color,2493,0.013292430162584183,5
bosonic,2475,0.013196455937583573,7
condensate,2463,0.013132473120916501,10
detailed,2459,0.01311114551536081,8
assumption,2457,0.013100481712582965,10
choice,2456,0.013095149811194045,6
negative,2452,0.013073822205638352,8
line,2441,0.013015171290360204,4
flow,2422,0.012913865163970672,4
sigma,2419,0.012897869459803906,5
threshold,2413,0.012865878051470369,9
origin,2412,0.012860546150081446,6
fact,2412,0.012860546150081446,4
basis,2411,0.012855214248692523,5
fermionic,2404,0.012817890938970065,9
reduction,2402,0.01280722713619222,9
aspect,2397,0.012780567629247607,6
estimate,2396,0.012775235727858684,8
theorem,2396,0.012775235727858684,7
modulus,2392,0.012753908122302994,7
compact,2387,0.01272724861535838,7
derivative,2384,0.012711252911191611,10
-1,2383,0.01270592100980269,2
non-perturbative,2382,0.012700589108413768,16
strong coupling,1501,0.012684746502237176,15
relative,2378,0.012679261502858077,8
cosmology,2377,0.012673929601469154,9
external,2372,0.01264727009452454,8
distance,2370,0.012636606291746694,8
first order,1495,0.012634041319683261,11
open,2357,0.0125672915736907,4
combination,2351,0.012535300165357165,11
correspondence,2349,0.01252463636257932,14
pp,2340,0.012476649250079016,2
gamma,2325,0.012396670729245175,5
\gamma,2312,0.012327356011189181,6
volume,2308,0.01230602840563349,6
abelian,2303,0.012279368898688877,7
positive,2287,0.012194058476466116,8
strength,2286,0.012188726575077193,8
picture,2285,0.012183394673688269,7
continuum,2284,0.012178062772299346,9
deformation,2278,0.012146071363965812,11
excitation,2252,0.01200744192785382,10
nucleus,2250,0.011996778125075977,7
rise,2243,0.011959454815353517,4
propagator,2238,0.011932795308408904,10
scaling,2233,0.01190613580146429,7
impact,2231,0.011895471998686446,6
plane,2227,0.011874144393130755,5
spatial,2215,0.011810161576463682,7
supersymmetric standard,1397,0.011805856671302687,23
hierarchy,2210,0.011783502069519069,9
four-dimensional,2209,0.011778170168130148,16
further,2208,0.011772838266741225,7
dependent,2207,0.011767506365352301,9
equivalent,2206,0.011762174463963378,10
precise,2197,0.011714187351463075,7
coordinate,2192,0.011687527844518462,10
modification,2191,0.01168219594312954,12
chiral perturbation theory,1092,0.01164487263340708,26
conformal field theory,1092,0.01164487263340708,22
sm,2184,0.01164487263340708,2
stability,2183,0.011639540732018158,9
discrete,2177,0.011607549323684622,8
behaviour,2170,0.011570226013962162,9
length,2165,0.01154356650701755,6
high-energy,2163,0.011532902704239706,11
lorentz,2156,0.011495579394517246,7
law,2153,0.011479583690350478,3
first time,1358,0.011476272984702255,10
\rm,2149,0.011458256084794788,3
ground,2139,0.011404937070905561,6
inelastic,2130,0.011356949958405258,9
non-trivial,2122,0.011314294747293877,11
susy,2110,0.011250311930626804,4
heavy ion,1325,0.011197394480655735,9
scalar fields,1322,0.011172041889378778,13
\mathcal,2090,0.011143673902848351,8
deviation,2090,0.011143673902848351,9
nonlinear,2085,0.011117014395903738,9
other hand,1315,0.011112885843065879,10
radius,2083,0.011106350593125891,6
issue,2078,0.011079691086181278,5
probe,2076,0.011069027283403435,5
early,2067,0.011021040170903131,5
yukawa,2067,0.011021040170903131,6
extended,2063,0.01099971256534744,8
error,2051,0.010935729748680368,5
perturbative qcd,1288,0.010884712521573272,16
fixed,2041,0.01088241073479114,5
characteristic,2032,0.010834423622290836,14
plasma,2022,0.010781104608401612,6
flavour,2016,0.010749113200068074,7
necessary,2013,0.010733117495901308,9
infrared,2011,0.010722453693123461,8
zero,2010,0.010717121791734539,4
next-to-leading,1998,0.010653138975067467,15
observable,1996,0.01064247517228962,10
singlet,1995,0.010637143270900698,7
general relativity,1258,0.010631186608803708,18
intermediate,1978,0.010546500947289013,12
einstein,1975,0.010530505243122245,8
cm,1974,0.010525173341733323,2
appropriate,1969,0.01049851383478871,11
change,1964,0.010471854327844097,6
functional,1963,0.010466522426455172,10
series,1953,0.010413203412565948,6
non-abelian,1953,0.010413203412565948,11
probability,1945,0.010370548201454565,11
conventional,1944,0.010365216300065644,12
phenomenology,1942,0.010354552497287797,13
yield,1939,0.010338556793121031,5
tevatron,1939,0.010338556793121031,8
canonical,1934,0.010311897286176416,9
neutron,1933,0.010306565384787494,7
hard,1928,0.01027990587784288,4
factorization,1907,0.010167935948675506,13
argument,1901,0.010135944540341968,8
i.e,1898,0.010119948836175202,3
cp violation,1194,0.010090331328228638,12
invariant mass,1194,0.010090331328228638,14
idea,1875,0.00999731510422998,4
useful,1875,0.00999731510422998,6
equal,1874,0.009991983202841058,5
analytical,1873,0.009986651301452135,10
force,1867,0.009954659893118598,5
able,1864,0.009938664188951831,4
pseudoscalar,1857,0.009901340879229373,12
euclidean,1854,0.009885345175062604,9
spontaneous,1850,0.009864017569506913,11
neutrino mass,1167,0.009862158006736031,13
compatible,1849,0.00985868566811799,10
literature,1843,0.009826694259784455,10
radiative corrections,1161,0.009811452824182118,21
second order,1159,0.00979455109666415,12
chiral perturbation,1158,0.009786100232905163,19
algorithm,1835,0.009784039048673074,9
show,1831,0.009762711443117383,4
accuracy,1830,0.00975737954172846,8
inverse,1827,0.009741383837561693,7
qed,1824,0.009725388133394925,3
cern,1823,0.009720056232006002,4
deep,1814,0.009672069119505697,4
mechanic,1813,0.009666737218116775,8
shape,1810,0.009650741513950007,5
branes,1810,0.009650741513950007,6
question,1802,0.009608086302838627,8
formation,1801,0.009602754401449703,9
partition,1798,0.009586758697282937,9
average,1798,0.009586758697282937,7
chemical,1797,0.009581426795894013,8
identity,1795,0.009570762993116167,8
numerical results,1132,0.00956637777517154,17
generator,1794,0.009565431091727245,9
year,1793,0.009560099190338322,4
partial,1791,0.009549435387560477,7
multiple,1791,0.009549435387560477,8
charm,1787,0.009528107782004787,5
heavy ion collisions,891,0.009501448275060173,20
ordinary,1780,0.009490784472282328,8
emission,1772,0.009448129261170946,8
dominant,1771,0.009442797359782023,8
sitter,1768,0.009426801655615255,6
internal,1762,0.00939481024728172,8
planck,1754,0.009352155036170338,6
unitarity,1749,0.009325495529225725,9
domain,1744,0.009298836022281112,6
n=2,1739,0.009272176515336497,3
short,1736,0.009256180811169731,5
suitable,1729,0.009218857501447273,8
realization,1728,0.00921352560005835,11
status,1727,0.009208193698669426,6
discussion,1724,0.00919219799450266,10
angular momentum,1083,0.009152285450981254,16
beta,1716,0.009149542783391279,4
confinement,1713,0.00913354707922451,11
mssm,1706,0.009096223769502051,4
upper limit,1074,0.009076227677150384,11
alternative,1702,0.00907489616394636,11
pole,1698,0.009053568558390668,4
treatment,1695,0.009037572854223902,9
path,1690,0.009010913347279288,4
tool,1690,0.009010913347279288,4
dipole,1688,0.009000249544501444,6
ion,1687,0.008994917643112521,3
magnetic moment,1063,0.008983268175801544,15
view,1682,0.008968258136167908,4
wide,1680,0.008957594333390061,4
shift,1673,0.008920271023667603,5
realistic,1671,0.008909607220889758,9
recent results,1054,0.008907210401970674,14
\delta,1666,0.008882947713945145,6
doublet,1663,0.008866952009778377,7
basic,1652,0.008808301094500228,5
tension,1652,0.008808301094500228,7
geometric,1651,0.008802969193111305,9
chern-simons,1650,0.008797637291722383,12
enhancement,1648,0.008786973488944536,11
consistency,1639,0.008738986376444232,11
pattern,1637,0.008728322573666389,7
elastic,1637,0.008728322573666389,7
kinetic,1632,0.008701663066721774,7
unification,1629,0.008685667362555008,11
development,1629,0.008685667362555008,11
review,1624,0.008659007855610395,6
contrast,1619,0.00863234834866578,8
gauge field,1018,0.008602979306647197,11
object,1613,0.008600356940332244,6
effective potential,1016,0.008586077579129228,19
multiplicity,1606,0.008563033630609786,12
inelastic scattering,1008,0.008518470669057344,20
exotic,1596,0.00850971461672056,6
original,1594,0.008499050813942713,8
closed,1591,0.008483055109775947,6
nonperturbative,1591,0.008483055109775947,15
discovery,1588,0.008467059405609179,9
parity,1588,0.008467059405609179,6
divergence,1588,0.008467059405609179,10
understanding,1581,0.008429736095886719,13
investigation,1579,0.008419072293108875,13
long,1577,0.008408408490331028,4
program,1575,0.008397744687553183,7
star,1573,0.008387080884775338,4
-dimensional,1571,0.008376417081997493,12
strange,1568,0.008360421377830725,7
majorana,1568,0.008360421377830725,8
feynman,1566,0.00834975757505288,7
exclusive,1562,0.00832842996949719,9
rapidity,1561,0.008323098068108265,8
correct,1559,0.008312434265330421,7
hand,1557,0.008301770462552574,4
unique,1553,0.008280442856996884,6
relativity,1551,0.00826977905421904,10
medium,1545,0.008237787645885503,6
longitudinal,1545,0.008237787645885503,12
absence,1540,0.00821112813894089,7
\mu,1535,0.008184468631996277,3
\cal,1534,0.008179136730607354,4
leptonic,1534,0.008179136730607354,8
soliton,1529,0.008152477223662741,7
differential cross,962,0.008129730936144013,18
increase,1523,0.008120485815329205,8
sign,1522,0.008115153913940283,4
derivation,1522,0.008115153913940283,10
inflationary,1520,0.008104490111162436,12
solar,1516,0.008083162505606745,5
noncommutative,1513,0.00806716680143998,14
early universe,954,0.00806212402607213,14
so-called,1510,0.008051171097273211,9
content,1508,0.008040507294495364,7
unified,1507,0.008035175393106442,7
interest,1507,0.008035175393106442,8
conformal field theories,753,0.00802984349171752,24
axial,1503,0.008013847787550751,5
higher order,948,0.008011418843518216,12
upper limits,947,0.00800296797975923,12
excess,1498,0.007987188280606138,6
gas,1496,0.007976524477828295,3
nontrivial,1496,0.007976524477828295,10
confidence,1496,0.007976524477828295,10
requirement,1495,0.00797119257643937,11
composite,1490,0.007944533069494757,9
prospect,1489,0.007939201168105835,8
regularization,1483,0.007907209759772299,14
tree,1480,0.007891214055605531,4
integrated luminosity,932,0.007876205023374449,21
kinematic,1476,0.00786988645004984,9
\lambda,1475,0.007864554548660918,7
suppression,1475,0.007864554548660918,11
extra dimensions,928,0.007842401568338507,16
gauge theories,925,0.00781704897706155,14
non-zero,1459,0.007779244126438155,8
frame,1457,0.007768580323660309,5
unitary,1452,0.007741920816715697,7
index,1449,0.007725925112548928,5
atlas,1444,0.007699265605604315,5
definition,1443,0.0076939337042153935,10
right-handed,1442,0.00768860180282647,12
proportional,1439,0.007672606098659702,12
three-dimensional,1439,0.007672606098659702,17
crucial,1438,0.0076672741972707795,7
world,1436,0.007656610394492934,5
resolution,1431,0.007629950887548321,10
next,1431,0.007629950887548321,4
transfer,1429,0.007619287084770476,8
proton-proton,1425,0.007597959479214785,13
super,1418,0.0075606361694923255,5
valid,1416,0.00754997236671448,5
tree level,892,0.00753817047301503,10
quadratic,1413,0.007533976662547713,9
two-loop,1412,0.007528644761158791,8
ansatz,1411,0.007523312859769868,6
lie,1410,0.007517980958380945,3
polarized,1410,0.007517980958380945,9
non-linear,1409,0.007512649056992022,10
conjecture,1398,0.007453998141713873,10
relic,1397,0.0074486662403249505,5
logarithmic,1396,0.007443334338936028,11
article,1395,0.007438002437547105,7
coulomb,1394,0.007432670536158183,7
area,1393,0.007427338634769259,4
modified,1392,0.0074220067333803375,8
hidden,1387,0.0073953472264357235,6
kind,1387,0.0073953472264357235,4
constituent,1385,0.007384683423657879,11
end,1382,0.00736868771949111,3
wall,1381,0.007363355818102189,4
algebraic,1374,0.0073260325083797295,9
moduli space,866,0.007318448015281409,12
introduction,1372,0.007315368705601884,12
integrable,1372,0.007315368705601884,10
dilaton,1371,0.007310036804212962,7
virtual,1370,0.007304704902824038,7
quantum gravity,864,0.007301546287763438,15
velocity,1369,0.007299373001435116,8
gap,1366,0.007283377297268348,3
attention,1365,0.007278045395879426,9
consideration,1361,0.007256717790323735,13
cross-section,1357,0.007235390184768044,13
topology,1354,0.007219394480601276,8
equivalence,1352,0.007208730677823431,11
center,1351,0.0072033987764345084,6
fb,1350,0.007198066875045586,2
superconformal,1346,0.007176739269489895,14
n=1,1346,0.007176739269489895,3
improved,1344,0.00716607546671205,8
integrated,1342,0.007155411663934205,10
direct detection,845,0.007140979876342714,16
minimum,1334,0.007112756452822823,7
variation,1331,0.007096760748656055,9
grand,1328,0.007080765044489287,5
graviton,1323,0.007054105537544674,8
improvement,1318,0.00702744603060006,11
cft,1318,0.00702744603060006,3
third,1313,0.007000786523655447,5
maximal,1312,0.006995454622266525,7
input,1307,0.006968795115321912,5
fermilab,1307,0.006968795115321912,8
variety,1306,0.006963463213932988,7
associated,1306,0.006963463213932988,10
quark-gluon plasma,823,0.006955060873645033,18
proton-proton collisions,821,0.006938159146127062,24
instability,1293,0.006894148495876994,11
instanton,1292,0.006888816594488072,9
explanation,1291,0.006883484693099149,11
lep,1289,0.006872820890321304,3
